"TEAM"	"POS.RANK"	"PLAYER"	"AGE"	"GP"	"W"	"L"	"MIN"	"PTS"	"FGM"	"FGA"	"FG_PCT"	"2PA"	"2PM"	"FG2_PCT"	"3PA"	"3PM"	"FG3_PCT"	"2PT_ATT_PER"	"3PT_ATT_PER"	"FTM"	"FTA"	"FT_PCT"	"PER_PTS_FT"	"PER_PTS_2P"	"PER_PTS_3P"	"OREB"	"DREB"	"REB"	"AST"	"TOV"	"STL"	"BLK"	"PF"	"FP"	"DD2"	"TD3"	"X..."	"POSITION"	"PLAYER_ID"	"RANK"	"color"	"team_color"
"1"	"ATL"	66	"Damian Jones"	24	55	15	40	16.1	5.6	2.2	3.2	68	3	2.2	73.33	0.2	0	22.2	93.75	6.25	1.1	1.5	73.8	19.64	78.57	0	1.3	2.4	3.7	0.6	0.5	0.5	0.7	2.7	14.1	0	0	-4.7	"Center"	1627745	232	"#1B9E77"	"#e13a3e"
"2"	"ATL"	64	"Kevin Huerter"	21	56	19	37	31.4	12.2	4.5	10.9	41.3	4.9	2.2	44.9	6	2.3	38	44.95	55.05	0.9	1.1	82.8	7.38	36.07	56.56	0.6	3.4	4.1	3.8	1.6	0.9	0.5	2.5	25.4	2	0	-4.3	"Forward"	1628989	102	"#D95F02"	"#e13a3e"
"3"	"ATL"	62	"De'Andre Hunter"	22	63	19	44	32	12.3	4.4	10.8	41	6	2.7	45	4.8	1.7	35.5	55.56	44.44	1.7	2.3	76.4	13.82	43.9	41.46	0.7	3.8	4.5	1.8	1.6	0.7	0.3	2.9	21.8	3	0	-4.1	"Forward"	1629631	99	"#D95F02"	"#e13a3e"
"4"	"ATL"	197	"Treveon Graham"	26	55	21	34	16.9	4.4	1.6	4.4	36	2.2	1	45.45	2.2	0.6	27.5	50	50	0.7	1	64.3	15.91	45.45	40.91	0.9	1.8	2.7	0.8	0.5	0.4	0.1	1.9	10	0	0	-2.7	"Forward"	1626203	251	"#D95F02"	"#e13a3e"
"5"	"ATL"	158	"DeAndre' Bembry"	25	43	10	33	21.3	5.8	2.4	5.3	45.6	3.8	2.1	55.26	1.5	0.3	23.1	71.7	28.3	0.6	1.1	54.2	10.34	72.41	15.52	0.8	2.7	3.5	1.9	1.4	1.3	0.4	2	16.6	2	0	-6	"Guard"	NA	NA	"#7570B3"	"#e13a3e"
"6"	"ATL"	168	"Skal Labissiere"	24	33	14	19	17.2	5.8	2.5	4.5	55.1	4.1	2.4	58.54	0.4	0.1	23.1	91.11	8.89	0.8	1	75.8	13.79	82.76	5.17	2	3.2	5.1	1.3	0.9	0.2	0.9	2.7	16.4	1	0	0.4	"Forward"	NA	NA	"#D95F02"	"#e13a3e"
"7"	"ATL"	238	"Chandler Parsons"	31	5	0	5	10.8	2.8	1	3.6	27.8	0.8	0.2	25	2.8	0.8	28.6	22.22	77.78	0	0	0	0	14.29	85.71	0.2	1.2	1.4	0.6	0.6	0.8	0.2	0.6	7.8	0	0	-8	"Forward"	NA	NA	"#D95F02"	"#e13a3e"
"8"	"ATL"	20	"Clint Capela"	25	39	22	17	32.8	13.9	6.3	9.9	62.9	9.9	6.3	63.64	0	0	0	100	0	1.4	2.7	52.9	10.07	90.65	0	4.3	9.5	13.8	1.2	1.6	0.8	1.8	2.6	38.8	27	0	1.5	"Center"	NA	NA	"#1B9E77"	"#e13a3e"
"9"	"ATL"	193	"Treveon Graham"	26	55	21	34	16.9	4.4	1.6	4.4	36	2.2	1	45.45	2.2	0.6	27.5	50	50	0.7	1	64.3	15.91	45.45	40.91	0.9	1.8	2.7	0.8	0.5	0.4	0.1	1.9	10	0	0	-2.7	"Guard"	1626203	251	"#7570B3"	"#e13a3e"
"10"	"ATL"	15	"John Collins"	22	41	15	26	33.2	21.6	8.6	14.8	58.3	11.2	7.2	64.29	3.6	1.4	40.1	75.68	24.32	2.9	3.7	80	13.43	66.67	19.44	2.8	7.3	10.1	1.5	1.8	0.8	1.6	3.4	41.2	22	0	-4	"Forward"	NA	NA	"#D95F02"	"#e13a3e"
"11"	"ATL"	85	"Cam Reddish"	20	58	17	41	26.7	10.5	3.7	9.6	38.4	5.3	2.3	43.4	4.3	1.4	33.2	55.21	44.79	1.7	2.2	80.2	16.19	43.81	40	0.6	3.1	3.7	1.5	1.7	1.1	0.5	2.3	20.2	0	0	-4.2	"Forward"	1629629	123	"#D95F02"	"#e13a3e"
