"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"1"	"Aaron Gordon"	"ORL"	24	3.1	4.7	65.3	0.4	1	35.6	0.6	1.6	33.7	0.2	1.1	19.7	0.4	1.5	30.6	0.8	2.5	31.3	"2019-20"
"2"	"Aaron Holiday"	"IND"	23	1.3	2.5	50.7	0.3	0.8	31.9	0.2	0.6	29.4	0.3	0.9	34.5	0.5	1.2	44.3	0.9	2.4	37.9	"2019-20"
"3"	"Abdel Nader"	"OKC"	26	1	1.7	62.5	0.1	0.4	33.3	0	0.1	16.7	0.1	0.2	40	0.3	0.9	39	0.5	1.4	35.4	"2019-20"
"4"	"Adam Mokoka"	"CHI"	21	0.5	1.1	50	0	0	0	0	0	0	0	0.1	0	0.3	0.7	37.5	0.3	0.7	42.9	"2019-20"
"5"	"Admiral Schofield"	"WAS"	22	0.4	0.8	52.6	0.1	0.1	66.7	0.1	0.2	60	0	0	100	0.4	1.2	34.8	0.3	1	26.1	"2019-20"
"6"	"Al Horford"	"PHI"	33	1.7	2.6	66.2	0.5	1.3	39.7	0.4	1.1	39.4	0.5	1.1	48.4	0.4	1.3	31.6	1.2	3.6	34.7	"2019-20"
"7"	"Al-Farouq Aminu"	"ORL"	29	0.7	1.9	34.3	0.1	0.5	22.2	0	0	0	0.1	0.2	66.7	0.3	1.1	26.3	0.2	1.1	20	"2019-20"
"8"	"Alec Burks"	"PHI"	28	1.6	3.3	49.5	0.3	1	33.3	0.5	1.3	36.4	0.4	1	41	0.7	1.7	39.6	1.2	3.3	36	"2019-20"
"9"	"Alen Smailagic"	"GSW"	19	1	1.2	82.4	0.1	0.4	33.3	0	0.2	0	0.1	0.1	50	0.1	0.5	14.3	0.1	0.4	33.3	"2019-20"
"10"	"Alex Caruso"	"LAL"	26	1.1	1.8	62.1	0.1	0.3	17.6	0	0.2	0	0.1	0.3	27.8	0.3	0.8	34.8	0.4	1.1	35.5	"2019-20"
"11"	"Alex Len"	"SAC"	26	2.6	3.9	66.1	0.5	0.8	57.5	0.1	0.2	41.7	0	0.1	20	0.2	0.6	32.3	0.1	0.5	16.7	"2019-20"
"12"	"Alfonzo McKinnie"	"CLE"	27	1.2	1.9	61.3	0.2	0.5	52.9	0.1	0.2	50	0	0.2	14.3	0.2	1.1	22.5	0.1	0.7	19.2	"2019-20"
"13"	"Alize Johnson"	"IND"	23	0.5	0.8	60	0.1	0.3	33.3	0	0.2	0	0	0	0	0	0	0	0	0	0	"2019-20"
"14"	"Allen Crabbe"	"MIN"	27	0.3	0.5	60	0.1	0.2	28.6	0.2	0.4	43.8	0.1	0.3	40	0.5	1.4	36.5	0.5	1.9	27.1	"2019-20"
"15"	"Allonzo Trier"	"NYK"	24	0.6	1	62.5	0	0.2	25	0.1	0.2	60	0.5	0.7	66.7	0.3	0.7	43.8	0.6	1.8	35.7	"2019-20"
"16"	"Amile Jefferson"	"ORL"	26	0.3	0.7	37.5	0.1	0.2	33.3	0.1	0.2	50	0	0.1	0	0	0	0	0	0	0	"2019-20"
"17"	"Amir Coffey"	"LAC"	22	0.5	1.2	38.5	0.2	0.6	40	0.4	0.6	80	0.1	0.3	33.3	0.1	0.4	25	0	0.2	0	"2019-20"
"18"	"Andre Drummond"	"CLE"	26	6.2	10.2	61	0.9	2.5	37.9	0.1	0.3	17.6	0	0.1	16.7	0.1	0.2	25	0	0.4	9.1	"2019-20"
"19"	"Andre Iguodala"	"MIA"	36	0.9	1.1	75	0	0.1	0	0	0.2	0	0.2	0.3	75	0.5	1.3	38.9	0.2	0.5	42.9	"2019-20"
"20"	"Andrew Wiggins"	"GSW"	25	3.9	6	64.6	1	2.4	41.5	0.5	1.6	30.7	0.4	1.2	34.8	0.9	2.5	35.8	1.4	4.3	32.8	"2019-20"
